DATE_OF_INTEREST,Cases
02/29/2020,1
3/03/2020,1
3/04/2020,5
3/05/2020,3
3/06/2020,8
3/07/2020,7
3/08/2020,21
3/09/2020,57
3/10/2020,70
3/11/2020,155
3/12/2020,357
03/13/2020,619
03/14/2020,642
03/15/2020,1037
03/16/2020,2121
03/17/2020,2452
03/18/2020,2971
03/19/2020,3707
03/20/2020,4007
03/21/2020,2637
03/22/2020,2579
03/23/2020,3570
03/24/2020,4503
03/25/2020,4874
03/26/2020,5047
03/27/2020,5118
03/28/2020,3479
03/29/2020,3562
03/30/2020,6130
03/31/2020,5464
4/01/2020,5450
4/02/2020,5748
4/03/2020,5670
4/04/2020,3866
4/05/2020,3782
4/06/2020,6354
4/07/2020,6045
4/08/2020,5581
4/09/2020,5071
4/10/2020,4512
4/11/2020,3732
4/12/2020,2888
04/13/2020,3313
04/14/2020,4146
04/15/2020,3878
04/16/2020,3529
04/17/2020,3584
04/18/2020,2172
04/19/2020,2346
04/20/2020,3794
04/21/2020,3064
04/22/2020,3461
04/23/2020,2842
04/24/2020,2535
04/25/2020,1597
04/26/2020,1003
04/27/2020,2289
04/28/2020,2728
04/29/2020,2341
04/30/2020,2022
5/01/2020,1888
5/02/2020,1058
5/03/2020,786
5/04/2020,1551
5/05/2020,1512
5/06/2020,1398
5/07/2020,1237
5/08/2020,1082
5/09/2020,658
5/10/2020,458
5/11/2020,1232
5/12/2020,1285
05/13/2020,1335
05/14/2020,1112
05/15/2020,875
05/16/2020,486
05/17/2020,359
05/18/2020,897
05/19/2020,1004
05/20/2020,1078
05/21/2020,1069
05/22/2020,1039
05/23/2020,457
05/24/2020,467
05/25/2020,467
05/26/2020,1053
05/27/2020,745
05/28/2020,646
05/29/2020,646
05/30/2020,349
05/31/2020,230
6/01/2020,687
6/02/2020,574
6/03/2020,516
6/04/2020,523
6/05/2020,404
6/06/2020,246
6/07/2020,198
6/08/2020,451
6/09/2020,421
6/10/2020,365
6/11/2020,366
6/12/2020,410
06/13/2020,197
06/14/2020,180
06/15/2020,380
06/16/2020,420
06/17/2020,356
06/18/2020,378
06/19/2020,362
06/20/2020,203
06/21/2020,172
06/22/2020,398
06/23/2020,383
06/24/2020,383
06/25/2020,299
06/26/2020,314
06/27/2020,207
06/28/2020,203
06/29/2020,439
06/30/2020,442
7/01/2020,397
7/02/2020,418
7/03/2020,235
7/04/2020,120
7/05/2020,154
7/06/2020,434
7/07/2020,461
7/08/2020,437
7/09/2020,392
7/10/2020,310
7/11/2020,257
7/12/2020,224
07/13/2020,484
07/14/2020,401
07/15/2020,440
07/16/2020,417
07/17/2020,418
07/18/2020,218
07/19/2020,175
07/20/2020,402
07/21/2020,339
07/22/2020,330
07/23/2020,309
07/24/2020,300
07/25/2020,153
07/26/2020,140
07/27/2020,316
07/28/2020,312
07/29/2020,289
07/30/2020,271
07/31/2020,264
8/01/2020,189
8/02/2020,137
8/03/2020,348
8/04/2020,187
8/05/2020,300
8/06/2020,292
8/07/2020,255
8/08/2020,160
8/09/2020,133
8/10/2020,309
8/11/2020,262
8/12/2020,319
08/13/2020,275
08/14/2020,278
08/15/2020,151
08/16/2020,140
08/17/2020,327
08/18/2020,282
08/19/2020,257
08/20/2020,224
08/21/2020,251
08/22/2020,135
08/23/2020,150
08/24/2020,297
08/25/2020,282
08/26/2020,313
08/27/2020,268
08/28/2020,276
08/29/2020,128
08/30/2020,181
08/31/2020,310
9/01/2020,296
9/02/2020,274
9/03/2020,272
9/04/2020,229
9/05/2020,156
9/06/2020,206
9/07/2020,218
9/08/2020,390
9/09/2020,351
9/10/2020,322
9/11/2020,313
9/12/2020,201
09/13/2020,256
09/14/2020,432
09/15/2020,340
09/16/2020,365
09/17/2020,355
09/18/2020,286
09/19/2020,160
09/20/2020,157
09/21/2020,511
09/22/2020,406
09/23/2020,532
09/24/2020,467
09/25/2020,457
09/26/2020,279
09/27/2020,381
09/28/2020,432
09/29/2020,685
09/30/2020,586
10/01/2020,612
10/02/2020,591
10/03/2020,273
10/04/2020,337
10/05/2020,846
10/06/2020,562
10/07/2020,538
10/08/2020,517
10/09/2020,514
10/10/2020,305
10/11/2020,276
10/12/2020,473
10/13/2020,549
10/14/2020,545
10/15/2020,575
10/16/2020,478
10/17/2020,345
10/18/2020,390
10/19/2020,578
10/20/2020,537
10/21/2020,591
10/22/2020,681
10/23/2020,482
10/24/2020,307
10/25/2020,269
10/26/2020,340
10/27/2020,137
10/28/2020,12
